"t";"pricePig";"priceFeed";"pricePiglet";"TP";"SP";"TF";"SF";"SPi";"meanWeight";"sdWeight";"stage";"optimal";"alive";"scenario"
1;10,3;1,79;3,62;10,3;0;1,79;0;3,56;26,8300310800302;3,06521052662303;1;NA;15;2
2;10,3;1,79;3,62;10,3;0;1,79;0;3,56;32,1898407148385;3,82215855243902;1;NA;15;2
3;10,5;1,79;3,71;10,5;0,2;1,79;0;3,564;37,84685314685;4,55089856024841;1;NA;15;2
4;10,7;1,75;3,76;10,7;0,2;1,79;-0,04;3,56;43,8010683760646;5,18661463717271;1;NA;15;2
5;10,7;1,75;3,76;10,7;0;1,79;-0,04;3,56;50,0524864024824;5,72218810582746;1;NA;15;2
6;10,7;1,75;3,76;10,7;0;1,79;-0,04;3,559;56,6011072261034;6,17780561982507;1;NA;15;2
7;10,7;1,75;3,76;10,7;0;1,79;-0,04;3,559;63,4469308469276;6,5922124976329;1;NA;15;2
8;10,9;1,75;3,85;10,9;0,2;1,79;-0,04;3,563;70,5899572649549;7,01952229315128;1;NA;15;2
9;10,9;1,75;3,85;10,9;0;1,79;-0,04;3,564;78,0301864801854;7,52545151777323;2;0;15;2
10;10,9;1,69;3,8;10,9;0;1,79;-0,1;3,554;85,7676184926191;8,18014987439316;3;0;15;2
11;10,9;1,69;3,8;10,9;0;1,79;-0,1;3,552;93,802253302256;9,0479799304155;4;1;15;2
12;11,1;1,69;3,89;11,1;0,2;1,79;-0,1;3,556;102,134090909096;10,1781230778532;5;14;14;2
13;11,3;1,69;3,97;11,3;0,2;1,79;-0,1;3,558;110,763131313139;11,6005020966867;6;NA;NA;2
14;11,3;1,66;3,96;11,3;0;1,79;-0,13;3,557;119,689374514386;13,3279375567862;7;NA;NA;2
15;11,3;1,66;3,96;11,3;0;1,79;-0,13;3,557;128,912820512835;15,3616454319333;8;NA;NA;2
